no;kabupaten/kota;luas_panen;produksi_padi;hari_hujan;curah_hujan;luas_lahan;tenaga_kerja;jumlah_penduduk;produktivitas_padi
1;Karo;10195,83;72020,90;14,16;212,08;10750,00;167494,00;409077,00;Tinggi
2;Deli serdang;53778,61;327607,62;15,58;211,95;34213,00;151554,00;1941374,00;Tinggi
3;Toba;18107,44;110304,87;18,33;175,50;17319,00;62028,00;208754,00;Tinggi
4;Pematangsiantar;1972,51;11999,27;14,58;288,83;1536,00;9792,00;270768,00;Tinggi
5;Serdang Bedagai;48121,62;268604,09;10,00;171,00;28336,00;103447,00;662076,00;Tinggi
6;Tapanuli Utara;22894,78;130116,81;17,58;321,16;26105,00;108811,00;315222,00;Tinggi
7;Langkat;25770,65;127008,47;16,88;358,04;24682,00;199944,00;1034519,00;Rendah
8;Nias Barat;2899,05;14203,06;22,42;294,00;1809,00;32271,00;90585,00;Rendah
9;Labuhanbatu;12583,03;58947,69;14,17;211,95;14927,00;80027,00;499982,00;Rendah
10;Labuhanbatu Selatan;90,75;415,93;14,17;211,95;145,00;86467,00;316798,00;Rendah
11;Humbang Hasundutan;12202,51;54963,32;17,00;252,90;12018,00;77227,00;199719,00;Rendah
12;Mandailing Natal;17431,92;77005,15;17,58;358,83;11977,00;89423,00;478062,00;Rendah
13;Nias Selatan;14225,79;61661,23;20,33;284,03;8606,00;114715,00;366163,00;Rendah
14;Medan;1051,13;5436,59;15,00;204,56;911,00;35891,00;2460858,00;Rendah
15;Labuhanbatu Utara;9054,22;38451,26;11,83;210,83;12100,00;82223,00;385869,00;Rendah
16;Padang Lawas Utara;7083,95;29982,42;16,50;140,31;7198,00;96578,00;263551,00;Rendah
17;Nias;9169,49;36551,48;22,47;294,00;5898,00;58269,00;147794,00;Rendah
18;Pakpak Bharat;1279,31;5036,02;20,42;373,92;1115,00;17603,00;53315,00;Rendah
19;Nias Utara;10691,38;41233,32;22,42;293,94;7084,00;44113,00;148790,00;Rendah
20;Padang Lawas;7106,71;26706,76;15,50;159,84;5749,00;74428,00;263719,00;Rendah
